Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
U002;2EPT01;2EPT01-01;;;Poste TX 5A;"1250 KVA ; 20 KV/B2(+/- 5%) ; a huile dielectrique";;;;;;;;1
U002;2EPT01;2EPT01-02;;;Condensateur du transformateur TX 5A;70 KVAR;;;;;;;;1
U002;2EPT01;2EPT01-03;;;Poste TX 6A;"1250 KVA ; 20 KV/B2(+/- 5%) ; a huile dielectrique";;;;;;;;1
U002;2EPT01;2EPT01-04;;;Condensateur du transformateur TX 6A;70 KVAR;;;;;;;;1
U002;2EPT01;2EPT01-05;;;Poste TX 5B;"1250 KVA ; 20 KV/B2(+/- 5%) ; a huile dielectrique";;;;;;;;1
U002;2EPT01;2EPT01-06;;;Condensateur du transformateur TX 5B;70 KVAR;;;;;;;;1
U002;2EPT01;2EPT01-07;;;Poste TX 6B;"1250 KVA ; 20 KV/B2(+/- 5%) ; a huile dielectrique";;;;;;;;1
U002;2EPT01;2EPT01-08;;;Condensateur du transformateur TX 6B;70 KVAR;;;;;;;;1
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
