Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B97;3CTA01;3CTA01-07;3CTA01-07-00;;AHU-B-CSS  ;P=12686 KW, Soufflage=4721 m3/h;;;;;;;;1
B116;3CTA01;3CTA01-07;3CTA01-07-01;;B0-VAV-B-B116/S-B;P=2,7KW;;;;;;;;1
B111;3CTA01;3CTA01-07;3CTA01-07-02;;B0-VAV-F-B111/S-B;P=0KW;;;;;;;;1
B111;3CTA01;3CTA01-07;3CTA01-07-03;;B0-VAV-F-B111/R;P=2,7KW;;;;;;;;1
B113;3CTA01;3CTA01-07;3CTA01-07-04;;B0-VAV-D-B113/S-B;P=2,5KW;;;;;;;;1
B111;3CTA01;3CTA01-07;3CTA01-07-05;;B0-VAV-D-B109/R;P=2,7KW;;;;;;;;1
B111;3CTA01;3CTA01-07;3CTA01-07-06;;B0-VAV-D-B109/S-B;P=2,7KW;;;;;;;;1
B111;3CTA01;3CTA01-07;3CTA01-07-07;;B0-VAV-D-B108/S-B;P=0KW;;;;;;;;1
B97;3CTA01;3CTA01-08;3CTA01-08-00;;AHU-B-MOR ;P=3385 KW, Soufflage=819 m3/h, Dim=4210*1260*250;;;;;;;;1
B45;3CTA01;3CTA01-08;3CTA01-08-01;;B0-VAV-C-B044/S-B;P=0KW;;;;;;;;1
B45;3CTA01;3CTA01-08;3CTA01-08-02;;B0-VAV-B-B043/S-B;P=2.3KW;;;;;;;;1
B42;3CTA01;3CTA01-08;3CTA01-08-03;;B0-VAV-A-B042/S;P=0KW;;;;;;;;1
B43;3CTA01;3CTA01-08;3CTA01-08-04;;B0-VAV-A-B045/S-B;2.5;;;;;;;;1
B44;3CTA01;3CTA01-08;3CTA01-08-05;;B0-VAV-A-B045/S;1.5;;;;;;;;1
B97;3CTA01;3CTA01-09;3CTA01-09-00;;AHU-B-PHA ;P=27100 KW, Soufflage=5959m3/h;;;;;;;;1
B213;3CTA01;3CTA01-09;3CTA01-09-01;;B0-VAV-D-B213/S;P=0KW;;;;;;;;1
B161;3CTA01;3CTA01-09;3CTA01-09-02;;B0-VAV-A-B161/S;P=0KW;;;;;;;;1
B131;3CTA01;3CTA01-09;3CTA01-09-03;;B0-VAV-D-B131/S;P=0KW;;;;;;;;1
B164;3CTA01;3CTA01-09;3CTA01-09-04;;B0-VAV-A-B164/S;1;;;;;;;;1
B160;3CTA01;3CTA01-09;3CTA01-09-05;;B0-VAV-A-B160/S;0,6;;;;;;;;1
B125;3CTA01;3CTA01-09;3CTA01-09-06;;B0-VAV-D-B125/S;0,3;;;;;;;;1
B159;3CTA01;3CTA01-09;3CTA01-09-07;;B0-VAV-A-B159/S;0,3;;;;;;;;1
B162;3CTA01;3CTA01-09;3CTA01-09-08;;B0-VAV-A-B162/S;1,9;;;;;;;;1
B158;3CTA01;3CTA01-09;3CTA01-09-09;;B0-VAV-A-B158/S;0,3;;;;;;;;1
B154;3CTA01;3CTA01-09;3CTA01-09-10;;B0-VAV-A-B154/S;P=0KW;;;;;;;;1
B149;3CTA01;3CTA01-09;3CTA01-09-11;;B0-VAV-D-B149/S-B;P=0KW;;;;;;;;1
B153;3CTA01;3CTA01-09;3CTA01-09-12;;B0-VAV-A-B153/S-B;P=0KW;;;;;;;;1
B148;3CTA01;3CTA01-09;3CTA01-09-13;;B0-VAV-A-B148/S-B;P=0KW;;;;;;;;1
B147;3CTA01;3CTA01-09;3CTA01-09-14;;B0-VAV-A-B147/S-B;P=0KW;;;;;;;;1
B143;3CTA01;3CTA01-09;3CTA01-09-15;;B0-VAV-A-B143/S-B;P=0KW;;;;;;;;1
B142;3CTA01;3CTA01-09;3CTA01-09-16;;B0-VAV-A-B142/S-B;P=0KW;;;;;;;;1
B144;3CTA01;3CTA01-09;3CTA01-09-17;;B0-VAV-A-B144/S-B;0,3;;;;;;;;1
B134;3CTA01;3CTA01-09;3CTA01-09-18;;B0-VAV-B-B134/S-B;0,3;;;;;;;;1
B126;3CTA01;3CTA01-09;3CTA01-09-19;;B0-VAV-A-B126/S-B;P=0KW;;;;;;;;1
B127;3CTA01;3CTA01-09;3CTA01-09-20;;B0-VAV-A-B127/S;P=0KW;;;;;;;;1
S330;3CTA01;3CTA01-10;3CTA01-10-00;;AHU-R-RES;;;;;;;;;1
G7;3CTA01;3CTA01-10;3CTA01-10-01;;VAV_F_G007/S_B;;;;;;;;;1
G8;3CTA01;3CTA01-10;3CTA01-10-02;;VAV_A_G008/S_B;;;;;;;;;1
R007;3CTA01;3CTA01-11;3CTA01-11-00;;AHU-R-LOB;Dim=6940*3650*250;;;;;;;;1
G40;3CTA01;3CTA01-11;3CTA01-11-01;;VAV_D_G040/S_B;;;;;;;;;1
G40;3CTA01;3CTA01-11;3CTA01-11-02;;VAV_D_G040/S_B;;;;;;;;;1
G43;3CTA01;3CTA01-11;3CTA01-11-03;;VAV_E_G043/S_B;;;;;;;;;1
G49;3CTA01;3CTA01-11;3CTA01-11-04;;VAV_A_G049/S_B;;;;;;;;;1
G44;3CTA01;3CTA01-11;3CTA01-11-05;;VAV_F_G044/S_B;;;;;;;;;1
G261;3CTA01;3CTA01-11;3CTA01-11-06;;VAV_B_G261/S;;;;;;;;;1
G61;3CTA01;3CTA01-11;3CTA01-11-07;;VAV_A_G061/S;;;;;;;;;1
G251;3CTA01;3CTA01-11;3CTA01-11-08;;VAV_D_G251/S_B;;;;;;;;;1
G252;3CTA01;3CTA01-11;3CTA01-11-09;;VAV_E_G252/S_B;;;;;;;;;1
G253;3CTA01;3CTA01-11;3CTA01-11-10;;VAV_E_G253/S_B;;;;;;;;;1
G253;3CTA01;3CTA01-11;3CTA01-11-11;;VAV_E_G253/S_B;;;;;;;;;1
G253;3CTA01;3CTA01-11;3CTA01-11-12;;VAV_D_G253/R;;;;;;;;;1
G253;3CTA01;3CTA01-11;3CTA01-11-13;;VAV_D_G253/S;;;;;;;;;1
G257;3CTA01;3CTA01-11;3CTA01-11-14;;VAV_A_G257/S;;;;;;;;;1
G255;3CTA01;3CTA01-11;3CTA01-11-15;;VAV_A_G255/S;;;;;;;;;1
F328;3CTA01;3CTA01-11;3CTA01-11-16;;L01-VAV-G-F328/S-B;;;;;;;;;1
F333;3CTA01;3CTA01-11;3CTA01-11-17;;L01-VAV-A-F333/S-B;;;;;;;;;1
F323;3CTA01;3CTA01-11;3CTA01-11-18;;L01-VAV-F-F323/S-B;;;;;;;;;1
F323;3CTA01;3CTA01-11;3CTA01-11-19;;L01-VAV-F-F323/S-B;;;;;;;;;1
F323;3CTA01;3CTA01-11;3CTA01-11-20;;L01-VAV-E-F323/S;;;;;;;;;1
S330;3CTA01;3CTA01-12;3CTA01-12-00;;AHU-R-EMG;;;;;;;;;1
G33;3CTA01;3CTA01-12;3CTA01-12-01;;VAV_A_G033/S_B;;;;;;;;;1
G33;3CTA01;3CTA01-12;3CTA01-12-02;;VAV_A_G033/S;;;;;;;;;1
G27;3CTA01;3CTA01-12;3CTA01-12-03;;VAV_D_G027/S_B;;;;;;;;;1
G26;3CTA01;3CTA01-12;3CTA01-12-04;;VAV_A_G026/S_B;;;;;;;;;1
G24;3CTA01;3CTA01-12;3CTA01-12-05;;VAV_D_G024/S_B;;;;;;;;;1
G23;3CTA01;3CTA01-12;3CTA01-12-06;;VAV_D_G023/S_B;;;;;;;;;1
G13;3CTA01;3CTA01-12;3CTA01-12-07;;VAV_B_G013/S_B;;;;;;;;;1
G12;3CTA01;3CTA01-12;3CTA01-12-08;;VAV_B_G012/S_B;;;;;;;;;1
G10;3CTA01;3CTA01-12;3CTA01-12-09;;VAV_B_G010/S_B;;;;;;;;;1
G11;3CTA01;3CTA01-12;3CTA01-12-10;;VAV_B_G011/S_B;;;;;;;;;1
G9;3CTA01;3CTA01-12;3CTA01-12-11;;VAV_C_G009/S_B;;;;;;;;;1
G6;3CTA01;3CTA01-12;3CTA01-12-12;;VAV_B_G006/S_B;;;;;;;;;1
G3;3CTA01;3CTA01-12;3CTA01-12-13;;VAV_D_G003/S_B;;;;;;;;;1
G16;3CTA01;3CTA01-12;3CTA01-12-14;;VAV_A_G016/S_B;;;;;;;;;1
G4;3CTA01;3CTA01-12;3CTA01-12-15;;VAV_B_G004/S;;;;;;;;;1
G17;3CTA01;3CTA01-12;3CTA01-12-16;;VAV_E_G017/S_B;;;;;;;;;1
G22;3CTA01;3CTA01-12;3CTA01-12-17;;VAV_A_G022/S;;;;;;;;;1
G73;3CTA01;3CTA01-13;3CTA01-13-00;;AHU-R-IMG;;;;;;;;;1
G74;3CTA01;3CTA01-13;3CTA01-13-01;;VAV_D_G073/S_B;;;;;;;;;1
G75;3CTA01;3CTA01-13;3CTA01-13-02;;VAV_F_G074/S_B;;;;;;;;;1
G76;3CTA01;3CTA01-13;3CTA01-13-03;;VAV_D_G075/S_B;;;;;;;;;1
G89;3CTA01;3CTA01-13;3CTA01-13-04;;VAV_B_G076/S_B;;;;;;;;;1
G78;3CTA01;3CTA01-13;3CTA01-13-05;;VAV_B_G089/S;;;;;;;;;1
G85;3CTA01;3CTA01-13;3CTA01-13-06;;VAV_C_G078/S_B;;;;;;;;;1
G91;3CTA01;3CTA01-13;3CTA01-13-07;;VAV_C_G085/S_;;;;;;;;;1
G91;3CTA01;3CTA01-13;3CTA01-13-08;;VAV_D_G091/S_B;;;;;;;;;1
G93;3CTA01;3CTA01-13;3CTA01-13-09;;VAV_D_G091/S_B;;;;;;;;;1
G81;3CTA01;3CTA01-13;3CTA01-13-10;;VAV_A_G093/S_B;;;;;;;;;1
G94;3CTA01;3CTA01-13;3CTA01-13-11;;VAV_B_G081/S_B;;;;;;;;;1
G94;3CTA01;3CTA01-13;3CTA01-13-12;;VAV_F_G094/S_B;;;;;;;;;1
G95;3CTA01;3CTA01-13;3CTA01-13-13;;VAV_F_G094/S_B;;;;;;;;;1
G96;3CTA01;3CTA01-13;3CTA01-13-14;;VAV_A_G095/S_B;;;;;;;;;1
G83;3CTA01;3CTA01-13;3CTA01-13-15;;VAV_D_G096/S_B;;;;;;;;;1
G83;3CTA01;3CTA01-13;3CTA01-13-16;;VAV_E_G083_1/S_B;;;;;;;;;1
G97;3CTA01;3CTA01-13;3CTA01-13-17;;VAV_E_G083_2/S_B;;;;;;;;;1
G97;3CTA01;3CTA01-13;3CTA01-13-18;;VAV_D_G097/S_B;;;;;;;;;1
G87;3CTA01;3CTA01-13;3CTA01-13-19;;VAV_D_G097/S_B;;;;;;;;;1
G90;3CTA01;3CTA01-13;3CTA01-13-20;;VAV_A_G087/S;;;;;;;;;1
G99;3CTA01;3CTA01-13;3CTA01-13-21;;VAV_A_G090/S_B;;;;;;;;;1
G101;3CTA01;3CTA01-13;3CTA01-13-22;;VAV_B_G099/S_B;;;;;;;;;1
G107;3CTA01;3CTA01-13;3CTA01-13-23;;VAV_A_G101/S_B;;;;;;;;;1
G105;3CTA01;3CTA01-13;3CTA01-13-24;;VAV_A_G107/S_B;;;;;;;;;1
G102;3CTA01;3CTA01-13;3CTA01-13-25;;VAV_D_G105/S_B;;;;;;;;;1
G120;3CTA01;3CTA01-13;3CTA01-13-26;;VAV_C_G102/S_B;;;;;;;;;1
G100;3CTA01;3CTA01-13;3CTA01-13-27;;VAV_B_G120/S_B;;;;;;;;;1
G103;3CTA01;3CTA01-13;3CTA01-13-28;;VAV_A_G100/S_B;;;;;;;;;1
G110;3CTA01;3CTA01-13;3CTA01-13-29;;VAV_D_G103/S_B;;;;;;;;;1
G123;3CTA01;3CTA01-13;3CTA01-13-30;;VAV_A_G110/S;;;;;;;;;1
