Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B233;3CTA01;3CTA01-01;3CTA01-01-00;;AHU-B-AUD;P=10.531 KW, Soufflage=3633m3/h;;;;;;;;1
B228;3CTA01;3CTA01-01;3CTA01-01-01;;B0-VAV-D-B228/S;P=0 KW, Soufflage=709m3/h;;;;;;;;1
B233;3CTA01;3CTA01-02;3CTA01-02-00;;AHU-B-RECEP;P=16.355 KW, Soufflage=3191m3/h;;;;;;;;1
B233;3CTA01;3CTA01-02;3CTA01-02-01;;B0-VAV-C-B233/S-B;P=1,3 KW, Soufflage=363m3/h;;;;;;;;1
B233;3CTA01;3CTA01-02;3CTA01-02-02;;B0-VAV-C-B233/S-B;P=0,8 KW, Soufflage=363m3/h;;;;;;;;1
B233;3CTA01;3CTA01-02;3CTA01-02-03;;B0-VAV-C-B233/S;P=0 KW, Soufflage=362m3/h;;;;;;;;1
B230;3CTA01;3CTA01-02;3CTA01-02-04;;B0-VAV-C-B230/S;P=0 KW, Soufflage=122m3/h;;;;;;;;1
B231;3CTA01;3CTA01-02;3CTA01-02-05;;B0-VAV-C-B231/S;P=0 KW, Soufflage=126m3/h;;;;;;;;1
B233;3CTA01;3CTA01-02;3CTA01-02-06;;B0-VAV-C-B233/S;P=0 KW, Soufflage=526,25m3/h;;;;;;;;1
B236;3CTA01;3CTA01-02;3CTA01-02-07;;B0-VAV-C-B236/S;P=0 KW, Soufflage=335m3/h;;;;;;;;1
B237;3CTA01;3CTA01-02;3CTA01-02-08;;B0-VAV-C-B237/S-B;P=0,4 KW, Soufflage=381m3/h;;;;;;;;1
B191;3CTA01;3CTA01-03;3CTA01-03-00;;;P=24.676 KW, Soufflage=11224m3/h;;;;;;;;1
B34;3CTA01;3CTA01-03;3CTA01-03-01;;B0-VAV-A-B034/S;P=0 KW, Soufflage=3629m3/h;;;;;;;;1
B34;3CTA01;3CTA01-03;3CTA01-03-02;;B0-VAV-G-B034/S;P=0 KW, Soufflage=3615m3/h;;;;;;;;1
B33;3CTA01;3CTA01-03;3CTA01-03-03;;B0-VAV-F-B033/R-B;P=9,4 KW, Soufflage=3629m3/h;;;;;;;;1
B33;3CTA01;3CTA01-03;3CTA01-03-04;;B0-VAV-C-B033/R-B;P=0 KW, Soufflage=437m3/h;;;;;;;;1
B18;3CTA01;3CTA01-03;3CTA01-03-05;;B0-VAV-F-B018/R-B;P=9,4 KW, Soufflage=1814m3/h;;;;;;;;1
B18;3CTA01;3CTA01-03;3CTA01-03-06;;B0-VAV-F-B018/R-B;P=0 KW, Soufflage=1814m3/h;;;;;;;;1
B191;3CTA01;3CTA01-04;3CTA01-04-00;;AHU-B-RAD ;P=64.972 KW, Soufflage=17052 m3/h, Dim=2120*1595*4780 ;;;;;;;;1
B4;3CTA01;3CTA01-04;3CTA01-04-01;;B0-VAV-H-B004/S-B;P=0KW;;;;;;;;1
B13;3CTA01;3CTA01-04;3CTA01-04-02;;B0-VAV-A-B013/S;P=0KW;;;;;;;;1
B4;3CTA01;3CTA01-04;3CTA01-04-03;;B0-VAV-G-B004/S;P=0KW;;;;;;;;1
B286;3CTA01;3CTA01-04;3CTA01-04-04;;B0-VAV-A-B286/S-B;P=4.3KW;;;;;;;;1
B3;3CTA01;3CTA01-04;3CTA01-04-05;;B0-VAV-B-B003/S;P=0,3KW;;;;;;;;1
B11;3CTA01;3CTA01-04;3CTA01-04-06;;B0-VAV-B-B011/S-B;P=0KW;;;;;;;;1
B53;3CTA01;3CTA01-04;3CTA01-04-07;;B0-VAV-A-B053/R;P=1.4KW;;;;;;;;1
B7;3CTA01;3CTA01-04;3CTA01-04-08;;B0-VAV-C-B007/S-B;P=0KW;;;;;;;;1
B7;3CTA01;3CTA01-04;3CTA01-04-09;;B0-VAV-C-B007/R;P=1KW;;;;;;;;1
B34;3CTA01;3CTA01-04;3CTA01-04-10;;B0-VAV-F-B034/R-B;P=0KW;;;;;;;;1
B53;3CTA01;3CTA01-04;3CTA01-04-11;;B0-VAV-A-B053/S;P=0.2KW;;;;;;;;1
B9;3CTA01;3CTA01-04;3CTA01-04-12;;B0-VAV-A-B009/S;P=0.8KW;;;;;;;;1
B12;3CTA01;3CTA01-04;3CTA01-04-13;;B0-VAV-B-B012/S;P=0.6KW;;;;;;;;1
B40;3CTA01;3CTA01-04;3CTA01-04-14;;B0-VAV-B-B040/S;P=1.2KW;;;;;;;;1
B10;3CTA01;3CTA01-04;3CTA01-04-15;;B0-VAV-A-B010/S-B;P=1.2KW;;;;;;;;1
B8;3CTA01;3CTA01-04;3CTA01-04-16;;B0-VAV-A-B008/S-B;P=0.5KW;;;;;;;;1
B6;3CTA01;3CTA01-04;3CTA01-04-17;;B0-VAV-B-B006/S-B;P=0KW;;;;;;;;1
B51;3CTA01;3CTA01-04;3CTA01-04-18;;B0-VAV-C-B051/S-B;P=9,4KW;;;;;;;;1
B48;3CTA01;3CTA01-04;3CTA01-04-19;;B0-VAV-C-B048/S;P=0.9KW;;;;;;;;1
B33;3CTA01;3CTA01-04;3CTA01-04-20;;B0-VAV-C-B033/S;P=9,4KW;;;;;;;;1
B70;3CTA01;3CTA01-04;3CTA01-04-21;;B0-VAV-C-B070/S;P=0KW;;;;;;;;1
B50;3CTA01;3CTA01-04;3CTA01-04-22;;B0-VAV-A-B050/S-B;P=0KW;;;;;;;;1
B70;3CTA01;3CTA01-04;3CTA01-04-23;;B0-VAV-A-B070/S-B;P=0KW;;;;;;;;1
B18;3CTA01;3CTA01-04;3CTA01-04-24;;B0-VAV-C-B018/S;P=0,5KW;;;;;;;;1
B52;3CTA01;3CTA01-04;3CTA01-04-25;;B0-VAV-A-B052/S-B;P=0.5KW;;;;;;;;1
B67;3CTA01;3CTA01-04;3CTA01-04-26;;B0-VAV-A-B067/S-B;P=0.9KW;;;;;;;;1
B66;3CTA01;3CTA01-04;3CTA01-04-27;;B0-VAV-B-B066/S;P=0.9KW;;;;;;;;1
B65;3CTA01;3CTA01-04;3CTA01-04-28;;B0-VAV-A-B065/S-B;P=0.9KW;;;;;;;;1
B64;3CTA01;3CTA01-04;3CTA01-04-29;;B0-VAV-A-B064/S-B;P=0.9KW;;;;;;;;1
B75;3CTA01;3CTA01-04;3CTA01-04-30;;B0-VAV-A-B075/S-B;P=0,8KW;;;;;;;;1
B63;3CTA01;3CTA01-04;3CTA01-04-31;;B0-VAV-A-B063/S-B;P=0.6KW;;;;;;;;1
B256;3CTA01;3CTA01-04;3CTA01-04-32;;B0-VAV-C-B256/S;P=0.9KW;;;;;;;;1
B77;3CTA01;3CTA01-04;3CTA01-04-33;;B0-VAV-A-B077/S;P=0KW;;;;;;;;1
B78;3CTA01;3CTA01-04;3CTA01-04-34;;B0-VAV-A-B078/S-B;P=0.6KW;;;;;;;;1
B80;3CTA01;3CTA01-04;3CTA01-04-35;;B0-VAV-B-B080/S-B;P=0.4KW;;;;;;;;1
B62;3CTA01;3CTA01-04;3CTA01-04-36;;B0-VAV-A-B062/S-B;P=0KW;;;;;;;;1
B61;3CTA01;3CTA01-04;3CTA01-04-37;;B0-VAV-A-B061/S-B;P=0KW;;;;;;;;1
B60;3CTA01;3CTA01-04;3CTA01-04-38;;B0-VAV-B-B060/S-B;P=0,7KW;;;;;;;;1
