Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B54;3CVC01;3CVC01-01;3CVC01-01-00;;B0-FCU-B054/B;;;;;;;;;1
B55;3CVC01;3CVC01-02;3CVC01-02-00;;B0-FCU-B055/B;;;;;;;;;1
B56;3CVC01;3CVC01-03;3CVC01-03-00;;B0-FCU-B056/B;;;;;;;;;1
B194;3CVC01;3CVC01-04;3CVC01-04-00;;B0-FCU-B194/S-B;;;;;;;;;1
B198;3CVC01;3CVC01-05;3CVC01-05-00;;B0-FCU-B198/S-B;;;;;;;;;1
B195;3CVC01;3CVC01-06;3CVC01-06-00;;B0-FCU-B195/S-R-B;;;;;;;;;1
B191;3CVC01;3CVC01-07;3CVC01-07-00;;B0-FCU-B191/B;;;;;;;;;1
B191;3CVC01;3CVC01-08;3CVC01-08-00;;B0-FCU-B191/B;;;;;;;;;1
B96;3CVC01;3CVC01-09;3CVC01-09-00;;B0-FCU-B096/S-B;;;;;;;;;1
B94;3CVC01;3CVC01-10;3CVC01-10-00;;B0-FCU-B094/S-B;;;;;;;;;1
B95;3CVC01;3CVC01-11;3CVC01-11-00;;B0-FCU-B095/S-B;;;;;;;;;1
B106;3CVC01;3CVC01-12;3CVC01-12-00;;B0-FCU-B106/S-B;;;;;;;;;1
B98;3CVC01;3CVC01-13;3CVC01-13-00;;B0-FCU-B98/S-B;;;;;;;;;1
B93;3CVC01;3CVC01-14;3CVC01-14-00;;B0-FCU-B93/S-B;;;;;;;;;1
B101;3CVC01;3CVC01-15;3CVC01-15-00;;B0-FCU-B101/S-B;;;;;;;;;1
B92;3CVC01;3CVC01-16;3CVC01-16-00;;B0-FCU-B92/S-B;;;;;;;;;1
B115;3CVC01;3CVC01-17;3CVC01-17-00;;B0-FCU-B115/S-B;;;;;;;;;1
B115;3CVC01;3CVC01-18;3CVC01-18-00;;B0-FCU-B115/S-B;;;;;;;;;1
B253;3CVC01;3CVC01-19;3CVC01-19-00;;B0-FCU-B253/S-B;;;;;;;;;1
B90;3CVC01;3CVC01-20;3CVC01-20-00;;B0-FCU-B090/S-B;;;;;;;;;1
B252;3CVC01;3CVC01-21;3CVC01-21-00;;B0-FCU-B252/S-B;;;;;;;;;1
B279;3CVC01;3CVC01-22;3CVC01-22-00;;B0-FCU-B279/S-B;;;;;;;;;1
