Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
IB;3SME01;3SME01-01;FHC-B01-01;;RIA 01;DN 25;;;;;;;;1
IB;3SME01;3SME01-02;FHC-B01-02;;RIA 02;DN 25;;;;;;;;1
IB;3SME01;3SME01-03;FHC-B01-03;;RIA 03;DN 25;;;;;;;;1
IB;3SME01;3SME01-04;FHC-B01-04;;RIA 04;DN 25;;;;;;;;1
IB;3SME01;3SME01-05;FHC-B01-05;;RIA 05;DN 25;;;;;;;;1
IB;3SME01;3SME01-06;FHC-B01-06;;RIA 06;DN 25;;;;;;;;1
IB;3SME01;3SME01-07;FHC-B01-07;;RIA 07;DN 25;;;;;;;;1
IB;3SME01;3SME01-08;FHC-B01-08;;RIA 08;DN 25;;;;;;;;1
IB;3SME01;3SME01-09;FHC-B01-09;;RIA 09;DN 25;;;;;;;;1
IB;3SME01;3SME01-10;FHC-B01-10;;RIA 10;DN 25;;;;;;;;1
IB;3SME01;3SME01-11;FHC-B01-11;;RIA 11;DN 25;;;;;;;;1
IB;3SME01;3SME01-12;FHC-B01-12;;RIA 12;DN 25;;;;;;;;1
IB;3SME01;3SME01-13;FHC-B01-13;;RIA 13;DN 25;;;;;;;;1
IB;3SME01;3SME01-14;FHC-B01-14;;RIA 14;DN 25;;;;;;;;1
IB;3SME01;3SME01-15;FHC-B01-15;;RIA 15;DN 25;;;;;;;;1
IB;3SME01;3SME01-16;FHC-B01-16;;RIA 16;DN 25;;;;;;;;1
IB;3SME01;3SME01-17;FHC-B01-17;;RIA 17;DN 25;;;;;;;;1
IB;3SME01;3SME01-18;FHC-B01-18;;RIA 18;DN 25;;;;;;;;1
IB;3SME01;3SME01-19;FHC-B01-19;;RIA 19;DN 25;;;;;;;;1
IB;3SME01;3SME01-20;FHC-B01-20;;RIA 20;DN 25;;;;;;;;1
IB;3SME01;3SME01-21;FHC-B01-21;;RIA 21;DN 25;;;;;;;;1
IG;3SME01;3SME01-22;FHC-L00-01;;RIA 22;DN 25;;;;;;;;1
IG;3SME01;3SME01-23;FHC-L00-02;;RIA 23;DN 25;;;;;;;;1
IG;3SME01;3SME01-24;FHC-L00-03;;RIA 24;DN 25;;;;;;;;1
IG;3SME01;3SME01-25;FHC-L00-04;;RIA 25;DN 25;;;;;;;;1
IG;3SME01;3SME01-26;FHC-L00-05;;RIA 26;DN 25;;;;;;;;1
IG;3SME01;3SME01-27;FHC-L00-06;;RIA 27;DN 25;;;;;;;;1
IG;3SME01;3SME01-28;FHC-L00-07;;RIA 28;DN 25;;;;;;;;1
IG;3SME01;3SME01-29;FHC-L00-08;;RIA 29;DN 25;;;;;;;;1
IG;3SME01;3SME01-30;FHC-L00-09;;RIA 30;DN 25;;;;;;;;1
IG;3SME01;3SME01-31;FHC-L00-10;;RIA 31;DN 25;;;;;;;;1
IG;3SME01;3SME01-32;FHC-L00-11;;RIA 32;DN 25;;;;;;;;1
