Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B1;4CSV01;4CSV01-01;;;Cam-Fixe-01;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B5;4CSV01;4CSV01-02;;;Cam-Fixe-02;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B40;4CSV01;4CSV01-03;;;Cam-Fixe-03;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B9;4CSV01;4CSV01-04;;;Cam-Fixe-04;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B5;4CSV01;4CSV01-05;;;Cam-Fixe-05;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B57;4CSV01;4CSV01-06;;;Cam-Fixe-06;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B71;4CSV01;4CSV01-07;;;Cam-Fixe-07;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B70;4CSV01;4CSV01-08;;;Cam-Fixe-08;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B72;4CSV01;4CSV01-09;;;Cam-Fixe-09;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B199;4CSV01;4CSV01-10;;;Cam-Fixe-10;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B190;4CSV01;4CSV01-11;;;Cam-Fixe-11;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B190;4CSV01;4CSV01-12;;;Cam-Fixe-12;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B124;4CSV01;4CSV01-13;;;Cam-Fixe-13;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B125;4CSV01;4CSV01-14;;;Cam-Fixe-14;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B115;4CSV01;4CSV01-15;;;Cam-Fixe-15;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
