Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B70;4PSA01;4PSA01-01;;;SA-2V-01;;;;;;;;;1
G21;4PSA01;4PSA01-02;;;SA-2V-02;;;;;;;;;1
G68;4PSA01;4PSA01-03;;;SA-2V-03;;;;;;;;;1
G162;4PSA01;4PSA01-04;;;SA-2V-04;;;;;;;;;1
G231;4PSA01;4PSA01-05;;;SA-2V-05;;;;;;;;;1
G231;4PSA01;4PSA01-06;;;SA-2V-06;;;;;;;;;1
G231;4PSA01;4PSA01-07;;;SA-2V-07;;;;;;;;;1
G436;4PSA01;4PSA01-08;;;SA-2V-08;;;;;;;;;1
G376;4PSA01;4PSA01-09;;;SA-2V-09;;;;;;;;;1
F344;4PSA01;4PSA01-10;;;SA-2V-10;;;;;;;;;1
F61;4PSA01;4PSA01-11;;;SA-2V-11;;;;;;;;;1
F157;4PSA01;4PSA01-12;;;SA-2V-12;;;;;;;;;1
F292;4PSA01;4PSA01-13;;;SA-2V-13;;;;;;;;;1
F463;4PSA01;4PSA01-14;;;SA-2V-14;;;;;;;;;1
F204;4PSA01;4PSA01-15;;;SA-2V-15;;;;;;;;;1
F422;4PSA01;4PSA01-16;;;SA-2V-16;;;;;;;;;1
